#"Titel"	"Anzahl"
"Tombraider "	"1"
"Tombraider anniversary"	"1"
"Tome Immortal Arena"	"1"
"Tome Raider"	"1"
"TOME: Immortal Arena"	"1"
"Tony Hawk Underground 2"	"1"
"Tony Hawk's Pro Skater 3"	"1"
"Top Eleven"	"1"
"Total War - Rome 2"	"1"
"Total War : Rome 2"	"1"
"Total War (Rome 2)"	"1"
"Total War (Spielereihe)"	"1"
"Total War Battle Kingdoms"	"1"
"Total War Battles: Kingdom"	"1"
"total war Napoléon "	"1"
"Total War ROME II - Emperor Edition"	"1"
"Total War Rome2"	"1"
"Total War: Rome2"	"1"
"Total War: Shogun 2 Fall of the Samurai"	"1"
"Total War: Shogun2 "	"1"
"Total War:Empire"	"1"
"Total War:Rome 2"	"1"
"TotalWar Rome II"	"1"
"TotalWarRome2"	"1"
"Totel war"	"1"
"Tour de France Manager 2013"	"1"
"Towerfall Ascension"	"1"
"Towerfall: Ascencion"	"1"
"Township"	"1"
"Townsmen"	"1"
"Toy Soldiers"	"1"
"Toybox Turbos"	"1"
"Trackmania Nations"	"1"
"Trackmania Nations Forever"	"1"
"TrackMania United"	"1"
"Trackmania Valley"	"1"
"Traffic Racer"	"1"
"Trans ocean"	"1"
"Transformers Fall of Cybertron"	"1"
"Tri: Of Friendship and Madness"	"1"
"TRI: Of friendship and Magic"	"1"
"Trials"	"1"
"Trials Frontier"	"1"
"Trials: Fusion"	"1"
"tribe's and castles "	"1"
"Tribes Ascend"	"1"
"Trine 1+2"	"1"
"Tropico"	"1"
"Tropico 3 - Steam Special Edition"	"1"
"Tropico 3 Gold Edition"	"1"
"Tropico 3 Steam Edition"	"1"
"Turbo Dismount"	"1"
"Turok 2 Seeds of Evil"	"1"
"TW Rome II"	"1"
"Two Souls"	"1"
"Two World 2"	"1"
"UFC 3"	"1"
"UFC PS4"	"1"
"UFO Enemy Unknown"	"1"
"UFO: Extraterrestrials Gold"	"1"
"Ultima iv"	"1"
"Ultimate NES Remix"	"1"
"Uncharted Among thieves"	"1"
"Uncharted Drakes Fortune"	"1"
"Unchartet 1-3"	"1"
"Und mehr"	"1"
"Underrail"	"1"
"Underworld Empire"	"1"
"Unholy Heights"	"1"
"Unity"	"1"
"Universe Sandbox"	"1"
"Uniwar"	"1"
"Unmechanical"	"1"
"Unreal Gold"	"1"
"Unreal Turnament 2003"	"1"
"Vagrant Story"	"1"
"Vain glory "	"1"
"Valiant Hearts - The Great War"	"1"
"Valiant hearts the great war"	"1"
"Valiant Hearts: The Great War"	"1"
"Valkyrie Chronicles"	"1"
"Vampire Bloodlines"	"1"
"Vampire Maskerade Bloodlines"	"1"
"Vampire the mascerade Bloodlines"	"1"
"Vampire the Masquerade: Bloodlines"	"1"
"Vampire The Masquerate Bloodlines"	"1"
"Vampire: The Masquerade - Bloodlines"	"1"
"Vanishing of Ethan Carter"	"1"
"Velocity 2X"	"1"
"Victim of Xen"	"1"
"viele Indie-Puzzle/Adventure-Spiele"	"1"
"Virtua Tennis 4"	"1"
"Viscera Cleanup Detail"	"1"
"Völgar the Viking"	"1"
"Volo Airsport"	"1"
"W40K Dawn of War"	"1"
"Wach Dogs"	"1"
"Walking Dead Episode 2"	"1"
"Walking Dead s2"	"1"
"walking dead season 1&2 (Telltale) ios"	"1"
"Walking dead Seson 2"	"1"
"walking dead session 2"	"1"
"War in the Pacific AE"	"1"
"War of Mine"	"1"
"Warcraft3"	"1"
"Wargame Red Dragon"	"1"
"Warhammer 40,000: Armageddon"	"1"
"Warhammer 40.000 Dawn of War Master Collection"	"1"
"Warhammer 40000 Dawn of War 2"	"1"
"Warhammer 40000: Dawn of War II"	"1"
"Warhammer 40k Armageddon"	"1"
"Warhammer 40k Dawn of War 2"	"1"
"Warhammer Mark of chaos"	"1"
"Wario Ware Inc"	"1"
"Warlock - Master of the Arcane"	"1"
"Warlords Battlecry 3"	"1"
"Warmachine Tactics"	"1"
"Wartunder"	"1"
"warzone 2100"	"1"
"Wasteland  2"	"1"
"Wasteland2"	"1"
"Watch_Dogs (PC)"	"1"
"Way of the Samurai 4"	"1"
"Wet"	"1"
"WH40k Armageddon"	"1"
"Wice star"	"1"
"Wii Fit U"	"1"
"Wii party u"	"1"
"Wii U Party"	"1"
"Wii U Smash Bros"	"1"
"wing commander"	"1"
"Wing Commander III"	"1"
"Winning Eleven 9 LE"	"1"
"Wipe Out"	"1"
"Witcher Adventure Game"	"1"
"Wizard's Choice"	"1"
"Wizardry 7"	"1"
"Wold of Tanks"	"1"
"Wold of warcraft "	"1"
"Wolfenstein : The New Order"	"1"
"Wolfenstein new world oreder"	"1"
"Wolfenstein the new order Uncut"	"1"
"Wolfenstein TNO"	"1"
"Wolfenstein: New World Order"	"1"
"Wolfenstein: The New Order (Cut-Version)"	"1"
"Wolfenstein:The New Order"	"1"
"Word of Tanks"	"1"
"Workd Of Tanks"	"1"
"World Cruise Story"	"1"
"World In Conflict Soviet Assault"	"1"
"World of Tanks Blitz"	"1"
"World of Wacraft"	"1"
"World of Warcraft - WOD"	"1"
"World of Warcraft inkl. aller Addons"	"1"
"World of Warcraft Warlords of Draenor"	"1"
"World of Warcraft-Draenor"	"1"
"World of Warcraft, Walrlords of Draenor"	"1"
"World of Warfcraft"	"1"
"Worms - Armageddon"	"1"
"Worms 2 Armageddon"	"1"
"Worms A"	"1"
"Worms Clan Wars"	"1"
"Worms: Armageddon"	"1"
"WoW Classic "	"1"
"WoW Draenor"	"1"
"WOW Warlords of Draenor"	"1"
"wow wod"	"1"
"WOW: World of Draenor"	"1"
"WRC Powerslide"	"1"
"WWE 13"	"1"
"WWE 14"	"1"
"WWE Smackdown vs Raw 2008"	"1"
"WWE2K 14"	"1"
"X - Beyond the Frontier "	"1"
"X Superbox"	"1"
"X-Com Enemy Unknown (die Neuauflage)"	"1"
"X-Com Terror from the Deep"	"1"
"X-Com: Enemy Unknown"	"1"
"X-COM: Enemy Within"	"1"
"X-Plane"	"1"
"X-Rebirth"	"1"
"X-Wing (1993)"	"1"
"X: Rebirth (Collector"s Edition)"	"1"
"X:COM"	"1"
"X3 Gold Edition"	"1"
"X3 Terran Conflict"	"1"
"XCom (2013)"	"1"
"XCOM Enemy un known"	"1"
"XCom Enemy Unkown"	"1"
"XCom EU"	"1"
"Xcom Ufo Defense"	"1"
"XCOM-Enemy Unkwon"	"1"
"XIII"	"1"
"XStoryPlayer 3.0"	"1"
"Xulima"	"1"
"Yoshi Story"	"1"
"Yu-gi-oh worldwide edition"	"1"
"Zelda - A Link to the Past "	"1"
"Zelda a link to the past (snes)"	"1"
"Zelda Majorask Mask"	"1"
"Zelda Oracle of Ages"	"1"
"Zelda Twilight Princess"	"1"
"Zelda: The ocarina of time 3D"	"1"

